LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Capacity Additions|Electricity|Other;Capacity Additions|Electricity|Other;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar|CSP;Capacity Additions|Electricity|Solar|CSP;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar|PV;Capacity Additions|Electricity|Solar|PV;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage;Capacity Additions|Electricity|Storage;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind|Offshore;Capacity Additions|Electricity|Wind|Offshore;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind|Onshore;Capacity Additions|Electricity|Wind|Onshore;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Pump Hydro;Capacity Additions|Electricity|Storage|Pump Hydro;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Stat Batteries;Capacity Additions|Electricity|Storage|Stat Batteries;GW/yr;GW/yr;1
Capacity Additions|Electricity;Capacity Additions|Electricity;GW/yr;GW/yr;1
Capacity|Electricity|Storage|Pump Hydro;Capacity|Electricity|Storage|Pump Hydro;GW;GW;1
Capacity|Electricity|Storage|Stat Batteries;Capacity|Electricity|Storage|Stat Batteries;GW;GW;1
Capacity|Electricity|Storage|Hydrogen electrolysis;Capacity|Electricity|Storage|Hydrogen electrolysis;GW;GW;1
Capacity Additions|Electricity|Storage|Hydrogen electrolysis;Capacity Additions|Electricity|Storage|Hydrogen electrolysis;GW/yr;GW/yr;1
Capacity|Electricity|Storage|Intra-day;Capacity|Electricity|Storage|Intra-day;GW;GW;1
Capacity Additions|Electricity|Storage|Intra-day;Capacity Additions|Electricity|Storage|Intra-day;GW/yr;GW/yr;1
Exports to FIN|Electricity;Exports to FIN|Electricity;TWh/yr;TWh/yr;1
Exports to NOR|Electricity;Exports to NOR|Electricity;TWh/yr;TWh/yr;1
Exports to SWE|Electricity;Exports to SWE|Electricity;TWh/yr;TWh/yr;1
Exports to EST|Electricity;Exports to EST|Electricity;TWh/yr;TWh/yr;1
Exports to LVA|Electricity;Exports to LVA|Electricity;TWh/yr;TWh/yr;1
Exports to LTU|Electricity;Exports to LTU|Electricity;TWh/yr;TWh/yr;1
Exports to DNK|Electricity;Exports to DNK|Electricity;TWh/yr;TWh/yr;1
Exports to GBR|Electricity;Exports to GBR|Electricity;TWh/yr;TWh/yr;1
Exports to IRL|Electricity;Exports to IRL|Electricity;TWh/yr;TWh/yr;1
Exports to NLD|Electricity;Exports to NLD|Electricity;TWh/yr;TWh/yr;1
Exports to POL|Electricity;Exports to POL|Electricity;TWh/yr;TWh/yr;1
Exports to DEU|Electricity;Exports to DEU|Electricity;TWh/yr;TWh/yr;1
Exports to BEL|Electricity;Exports to BEL|Electricity;TWh/yr;TWh/yr;1
